Class 2 
=======
x = [ x1        x2 ]

    0.5377    0.8404
    1.8339   -0.8880
   -2.2588    0.1001
    0.8622   -0.5445
    0.3188    0.3035
   -1.3077   -0.6003
   -0.4336    0.4900
    0.3426    0.7394
    3.5784    1.7119
    2.7694   -0.1941
   -1.3499   -2.1384
    3.0349   -0.8396
    0.7254    1.3546
   -0.0631   -1.0722
    0.7147    0.9610
   -0.2050    0.1240
   -0.1241    1.4367
    1.4897   -1.9609
    1.4090   -0.1977
    1.4172   -1.2078
    0.6715    2.9080
   -1.2075    0.8252
    0.7172    1.3790
    1.6302   -1.0582
    0.4889   -0.4686
    1.0347   -0.2725
    0.7269    1.0984
   -0.3034   -0.2779
    0.2939    0.7015
   -0.7873   -2.0518
    0.8884   -0.3538
   -1.1471   -0.8236
   -1.0689   -1.5771
   -0.8095    0.5080
   -2.9443    0.2820
    1.4384    0.0335
    0.3252   -1.3337
   -0.7549    1.1275
    1.3703    0.3502
   -1.7115   -0.2991
   -0.1022    0.0229
   -0.2414   -0.2620
    0.3192   -1.7502
    0.3129   -0.2857
   -0.8649   -0.8314
   -0.0301   -0.9792
   -0.1649   -1.1564
    0.6277   -0.5336
    1.0933   -2.0026
    1.1093    0.9642
   -0.8637    0.5201
    0.0774   -0.0200
   -1.2141   -0.0348
   -1.1135   -0.7982
   -0.0068    1.0187
    1.5326   -0.1332
   -0.7697   -0.7145
    0.3714    1.3514
   -0.2256   -0.2248
    1.1174   -0.5890
   -1.0891   -0.2938
    0.0326   -0.8479
    0.5525   -1.1201
    1.1006    2.5260
    1.5442    1.6555
    0.0859    0.3075
   -1.4916   -1.2571
   -0.7423   -0.8655
   -1.0616   -0.1765
    2.3505    0.7914
   -0.6156   -1.3320
    0.7481   -2.3299
   -0.1924   -1.4491
    0.8886    0.3335
   -0.7648    0.3914
   -1.4023    0.4517
   -1.4224   -0.1303
    0.4882    0.1837
   -0.1774   -0.4762
   -0.1961    0.8620
    1.4193   -1.3617
    0.2916    0.4550
    0.1978   -0.8487
    1.5877   -0.3349
   -0.8045    0.5528
    0.6966    1.0391
    0.8351   -1.1176
   -0.2437    1.2607
    0.2157    0.6601
   -1.1658   -0.0679
   -1.1480   -0.1952
    0.1049   -0.2176
    0.7223   -0.3031
    2.5855    0.0230
   -0.6669    0.0513
    0.1873    0.8261
   -0.0825    1.5270
   -1.9330    0.4669
   -0.4390   -0.2097
   -1.7947    0.6252 
